//Index		Name									Index1	Index2	Index3	Index4	Index5	Text
102			"Master Seal of Wealth"					0		1		-1		-1		-1		"Master Experience Rate: +%d%%/Item Drop Rate: +%d%%"
103			"Gladiator's Honor"						0		-1		-1		-1		-1		"Experience Rate: +%d%%/(Only in Vulcanus map)"
112			"Platinum Party"						0		0		1		-1		-1		"Experience Rate: +%d%%/Master Experience Rate: +%d%%/Party Bonus Experience Rate: +%d%%"
122			"Hawk Figure"							0		-1		-1		-1		-1		"Critical Damage: +%d%%"
123			"Goat Figure"							0		-1		-1		-1		-1		"Excellent Damage: +%d%%"
124			"Oak Charm"								0		-1		-1		-1		-1		"Max HP: +%d"
125			"Maple Charm"							0		-1		-1		-1		-1		"Max Mana: +%d"
126			"Golden Oak Charm"						0		1		-1		-1		-1		"Max HP: +%d/Max SD: +%d"
127			"Golden Maple Charm"					0		1		-1		-1		-1		"Max Mana: +%d/Max BP: +%d"
128			"Worn Horseshoe"						0		-1		-1		-1		-1		"Item Drop Rate: +%d%%"
129			"Ignore Enemy's Defense"				0		-1		-1		-1		-1		"Ignore Defense Rate: +%d%%"
130			"Increases Health"						0		-1		-1		-1		-1		"Add Vitality: +%d"
131			"Increase Defense Rate"					0		-1		-1		-1		-1		"Defense Success Rate: +%d"
134			"Iron Defense"							0		1		-1		-1		-1		"Max HP: +%d/Defense: +%d"
135			"Swell Life Enhanced"					0		1		-1		-1		-1		"Max HP: +%d%%/Max Mana: +%d%%"
136			"Swell Life Mastered"					0		1		2		-1		-1		"Max HP: +%d%%/Max Mana: +%d%%/Max BP: +%d%%"
138			"Expansion of Wizardry Improved"		0		1		-1		-1		-1		"Min Magic Damage: +%d/Max Magic Damage: +%d"
139			"Expansion of Wizardry Enhanced"		0		1		2		-1		-1		"Min Magic Damage: +%d/Max Magic Damage: +%d/Critical Damage Rate: +%d%%"
140			"Soul Barrier Mastered"					0		1		-1		-1		-1		"Damage Reduction: +%d/Max Mana: +%d%%"
141			"Frozen Stab"							-1		-1		-1		-1		-1		"Mobility disabled."
142			"Bless"									-1		-1		-1		-1		-1		"Bless"
143			"Infinity Arrow Improved"				0		-1		-1		-1		-1		"Physical Damage: +%d%%"
144			"Blind Improved"						0		-1		-1		-1		-1		"Attack Success Rate: -%d%%"
148			"Critical Damage Mastered"				0		1		-1		-1		-1		"Critical Damage: +%d/Critical Damage Rate: +%d%%"
149			"Critical Damage Extended"				0		1		2		-1		-1		"Critical Damage: +%d/Critical Damage Rate: +%d%%/Excellent Critical Damage: +%d%%"
150			"Berserker Improved"					0		1		2		3		-1		"Physical Damage: +%d%%/Mana: +%d%%/Defense: +%d%%/MaxHP: -%d%%"
151			"Berserker Enhanced"					0		1		2		3		-1		"Physical Damage: +%d%%/Mana: +%d%%/Defense: +%d%%/MaxHP: -%d%%"
152			"Berserker Mastered"					0		1		2		3		-1		"Physical Damage: +%d%%/Mana: +%d%%/Defense: +%d%%/MaxHP: -%d%%"
153			"Increase Defense Rate Improved"		0		-1		-1		-1		-1		"Defense Success Rate: +%d"
153			"Increase Defense Rate Mastered"		0		1		-1		-1		-1		"Defense Success Rate: +%d/Defense: +%d"
155			"Increases Health Improved"				0		-1		-1		-1		-1		"Add Vitality: +%d"
165			"Iron Defense"							0		1		-1		-1		-1		"Max HP: +%d/Defense: +%d"
210			"Silver Premium Buff"					0		1		-1		-1		-1		"Damage: +%d%%/Defense: +%d%%"
211			"Gold Premium Buff"						0		1		-1		-1		-1		"Damage: +%d%%/Defense: +%d%%"
212			"Platinum Premium Buff"					0		1		-1		-1		-1		"Damage: +%d%%/Defense: +%d%%"
213			"Party Buff"							0		1		2		-1		-1		"Experience: +%d%%/Damage: +%d%%/Defense: +%d%%"
214			"Guild Buff"							0		0		0		0		0		"Experience: +%d%%/Drop Zen: +%d%%/ChaosMix Rate: +%d%%/Damage: +%d%%/Defense: +%d%%"
215			"Noob Buff"								0		1		2		-1		-1		"Experience: +%d%%/Damage: +%d%%/Defense: +%d%%"

end
